wp  , wf    , P    , volume, n1 , Pd1, Np1, Helix1, Pd2, Np2, Helix2, s1_bending, s1_contact, s2_bending, s2_contact, s3_bending, s3_contact, _source_file
1200, 200.0 ,  5.0 , 238.11, 2.1,  10,  18,     20,   6,  10,     20,      11.07,     107.74,       9.33,     128.86,           ,           , wp_1200-1300.csv
1210, 200.83,  5.04, 233.69, 3.2,   8,  12,     25,  10,  28,     25,      10.7 ,     125.94,      20.57,     127.2 ,           ,           , wp_1200-1300.csv
1220, 201.67,  5.08, 218.24, 2.3,  10,  20,     25,  10,  18,     15,      10.26,     102.88,      17.73,     128.88,           ,           , wp_1200-1300.csv
1230, 202.5 ,  5.12, 223.14, 2.9,  10,  16,     20,   8,  18,     20,      12.41,     115.98,      15.43,     125.37,           ,           , wp_1200-1300.csv
1240, 203.33,  5.17, 233.8 , 2.5,  10,  16,     20,  10,  20,     15,      12.51,     118.83,      14.89,     120.89,           ,           , wp_1200-1300.csv
1250, 204.17,  5.21, 217.95, 2.4,  10,  16,     20,   8,  14,     15,      12.54,     119.71,      13.33,     128.47,           ,           , wp_1200-1300.csv
1260, 205.0 ,  5.25, 240.48, 3.4,  10,  16,     25,  10,  30,     25,      14.11,     123.16,      20.09,     122.8 ,           ,           , wp_1200-1300.csv
1300, 208.33,  5.42, 255.57, 4.0,  10,  14,     20,  10,  32,     25,      14.21,     128.65,      21.93,     127.65,           ,           , wp_1300-1400.csv
1310, 209.17,  5.46, 231.62, 2.6,  10,  16,     20,  10,  20,     15,      12.53,     118.34,      15.51,     123.63,           ,           , wp_1300-1400.csv
1320, 210.0 ,  5.5 , 227.34, 2.9,  10,  16,     25,   8,  16,     15,      14.25,     126.24,      13.86,     124.63,           ,           , wp_1300-1400.csv
1330, 210.83,  5.54, 254.41, 3.2,  10,  16,     25,  10,  28,     20,      14.18,     124.49,      17.22,     116.2 ,           ,           , wp_1300-1400.csv
1340, 211.67,  5.58, 233.56, 3.0,  10,  16,     25,   8,  16,     15,      14.23,     125.69,      14.34,     127.32,           ,           , wp_1300-1400.csv
1350, 212.5 ,  5.62, 265.8 , 3.7,   8,  12,     25,  10,  32,     25,      10.69,     124.05,      20.34,     120.88,           ,           , wp_1300-1400.csv
1360, 213.33,  5.67, 249.5 , 3.4,   8,  12,     25,  10,  28,     20,      10.74,     125.5 ,      18.29,     120.75,           ,           , wp_1300-1400.csv
1370, 214.17,  5.71, 260.77, 2.9,  10,  18,     20,   8,  18,     20,      10.99,     102.63,      15.47,     124.69,           ,           , wp_1300-1400.csv
1380, 215.0 ,  5.75, 231.26, 3.2,   8,  12,     25,  10,  22,     15,      10.78,     126.67,      16.93,     127.01,           ,           , wp_1300-1400.csv
1390, 215.83,  5.79, 270.27, 2.6,   8,  14,     25,   8,  16,     15,       9.21,     110.68,      12.44,     115.93,           ,           , wp_1300-1400.csv
1400, 216.67,  5.83, 232.08, 3.2,   8,  12,     25,  10,  22,     15,      10.79,     126.75,      16.93,     126.92,           ,           , wp_1400-1500.csv
1410, 217.5 ,  5.88, 245.76, 2.9,  10,  16,     20,   8,  18,     20,      12.51,     116.69,      15.49,     124.53,           ,           , wp_1400-1500.csv
1420, 218.33,  5.92, 251.67, 2.9,  10,  16,     25,  10,  26,     25,      14.31,     126.65,      20.57,     128.12,           ,           , wp_1400-1500.csv
1430, 219.17,  5.96, 248.26, 3.4,  10,  16,     25,   8,  22,     25,      14.22,     123.86,      16.37,     126.06,           ,           , wp_1400-1500.csv
1440, 220.0 ,  6.0 , 254.62, 2.5,   8,  14,     25,   6,  10,     15,       9.25,     111.59,       8.98,     126.48,           ,           , wp_1400-1500.csv
1450, 220.83,  6.04, 255.2 , 2.5,   8,  14,     25,   6,  10,     15,       9.25,     111.62,       8.98,     126.44,           ,           , wp_1400-1500.csv
1460, 221.67,  6.08, 253.23, 2.3,  10,  18,     25,   8,  14,     15,      12.78,     116.07,      12.82,     124.35,           ,           , wp_1400-1500.csv
1470, 222.5 ,  6.12, 257.6 , 3.5,  10,  16,     25,  10,  30,     25,      14.23,     123.54,      20.78,     124.17,           ,           , wp_1400-1500.csv
1480, 223.33,  6.17, 265.73, 2.4,  10,  16,     20,   6,  10,     15,      12.67,     120.62,       8.62,     123.12,           ,           , wp_1400-1500.csv
1490, 224.17,  6.21, 271.51, 3.5,   8,  12,     25,   6,  16,     25,      10.78,     125.52,      11.79,     120.53,           ,           , wp_1400-1500.csv
1500, 225.0 ,  6.25, 270.81, 2.8,   8,  12,     20,   8,  16,     15,       8.81,     115.12,      13.42,     121.15,           ,           , wp_1500-1600.csv
1510, 225.83,  6.29, 263.35, 2.5,  10,  18,     25,  10,  22,     20,      12.76,     114.62,      18.19,     127.87,           ,           , wp_1500-1600.csv
1520, 226.67,  6.33, 252.59, 2.9,  10,  18,     25,  10,  24,     20,      12.67,     112.01,      18.95,     127.8 ,           ,           , wp_1500-1600.csv
1530, 227.5 ,  6.38, 245.38, 2.8,   8,  14,     25,  10,  20,     15,       9.23,     109.85,      16.78,     128.77,           ,           , wp_1500-1600.csv
1540, 228.33,  6.42, 243.1 , 2.9,   8,  12,     25,   6,  12,     20,      10.9 ,     129.19,      10.55,     127.54,           ,           , wp_1500-1600.csv
1550, 229.17,  6.46, 256.98, 2.4,  10,  20,     25,   8,  14,     15,      10.4 ,     103.29,      13.41,     127.44,           ,           , wp_1500-1600.csv
1560, 230.0 ,  6.5 , 275.53, 3.4,   8,  12,     25,   8,  18,     15,      10.83,     126.28,      14.29,     120.39,           ,           , wp_1500-1600.csv
1570, 230.83,  6.54, 271.57, 2.4,  10,  18,     25,   8,  16,     20,      12.82,     115.62,      14.64,     125.24,           ,           , wp_1500-1600.csv
1580, 231.67,  6.58, 270.41, 2.8,   8,  14,     25,   6,  12,     20,       9.25,     110.02,      10.18,     124.58,           ,           , wp_1500-1600.csv
1590, 232.5 ,  6.62, 261.27, 2.4,  10,  20,     25,   8,  14,     15,      10.42,     103.42,      13.42,     127.34,           ,           , wp_1500-1600.csv
1600, 233.33,  6.67, 271.23, 2.8,   8,  14,     25,   8,  16,     15,       9.26,     110.09,      13.45,     120.86,           ,           , wp_1600-1700.csv
1610, 234.17,  6.71, 299.49, 2.4,  10,  20,     20,   6,  10,     15,       8.7 ,      95.22,       8.63,     122.78,           ,           , wp_1600-1700.csv
1620, 235.0 ,  6.75, 271.56, 3.3,  10,  16,     25,   8,  22,     25,      14.35,     125.08,      15.94,     122.99,           ,           , wp_1600-1700.csv
1630, 235.83,  6.79, 269.69, 2.4,  10,  18,     20,   8,  14,     15,      11.22,     106.68,      13.43,     127.26,           ,           , wp_1600-1700.csv
1640, 236.67,  6.83, 246.0 , 3.3,   8,  12,     25,  10,  22,     15,      10.88,     127.1 ,      17.53,     128.57,           ,           , wp_1600-1700.csv
1650, 237.5 ,  6.88, 260.7 , 3.3,   8,  12,     25,  10,  26,     20,      10.89,     127.14,      19.58,     127.05,           ,           , wp_1600-1700.csv
1660, 238.33,  6.92, 280.24, 2.6,  10,  18,     20,  10,  20,     15,      11.19,     105.35,      15.63,     122.63,           ,           , wp_1600-1700.csv
1670, 239.17,  6.96, 281.46, 3.8,  10,  16,     25,  10,  28,     20,      14.31,     122.99,      20.56,     128.65,           ,           , wp_1600-1700.csv
1680, 240.0 ,  7.0 , 280.03, 2.9,  10,  16,     25,   8,  20,     25,      14.47,     127.64,      15.75,     125.25,           ,           , wp_1600-1700.csv
1690, 240.83,  7.04, 257.91, 3.0,  10,  16,     20,   8,  16,     15,      12.64,     117.07,      14.43,     126.05,           ,           , wp_1600-1700.csv
1700, 241.67,  7.08, 276.23, 3.1,  10,  16,     25,  10,  26,     20,      14.42,     126.46,      18.44,     121.98,           ,           , wp_1700-1800.csv
1710, 242.5 ,  7.12, 271.52, 2.8,   8,  12,     20,  10,  20,     15,       8.88,     115.82,      16.83,     128.31,           ,           , wp_1700-1800.csv
1720, 243.33,  7.17, 286.02, 3.6,   8,  12,     25,   6,  16,     25,      10.87,     125.87,      12.19,     122.0 ,           ,           , wp_1700-1800.csv
1730, 244.17,  7.21, 288.16, 2.3,  10,  16,     20,   8,  14,     15,      12.82,     122.42,      12.89,     123.81,           ,           , wp_1700-1800.csv
1740, 245.0 ,  7.25, 277.32, 3.8,   8,  12,     25,  10,  28,     20,      10.84,     125.06,      20.59,     128.43,           ,           , wp_1700-1800.csv
1750, 245.83,  7.29, 245.72, 3.1,   8,  12,     25,   8,  16,     15,      10.96,     128.64,      14.93,     128.57,           ,           , wp_1700-1800.csv
1760, 246.67,  7.33, 272.58, 3.1,   8,  12,     25,   6,  14,     25,      10.96,     128.68,      12.15,     127.89,           ,           , wp_1700-1800.csv
1770, 247.5 ,  7.38, 249.49, 3.0,  10,  16,     25,   8,  16,     15,      14.49,     127.31,      14.45,     125.86,           ,           , wp_1700-1800.csv
1780, 248.33,  7.42, 285.77, 3.4,  10,  16,     25,  10,  28,     20,      14.42,     125.13,      18.47,     119.42,           ,           , wp_1700-1800.csv
1800, 250.0 ,  7.5 , 281.07, 2.7,  10,  18,     20,  10,  20,     15,      11.23,     105.12,      16.27,     125.28,           ,           , wp_1800-1900.csv
1810, 250.83,  7.54, 256.2 , 3.1,  10,  16,     25,   8,  16,     15,      14.48,     126.84,      14.95,     128.43,           ,           , wp_1800-1900.csv
1820, 251.67,  7.58, 279.81, 3.5,  10,  16,     25,   8,  20,     20,      14.43,     124.78,      14.6 ,     124.18,           ,           , wp_1800-1900.csv
1830, 252.5 ,  7.62, 303.08, 3.6,  10,  16,     25,   8,  24,     25,      14.42,     124.36,      15.7 ,     118.12,           ,           , wp_1800-1900.csv
1840, 253.33,  7.67, 278.26, 3.5,   8,  12,     25,  10,  24,     15,      10.93,     126.75,      16.65,     121.02,           ,           , wp_1800-1900.csv
1850, 254.17,  7.71, 284.5 , 3.0,  10,  16,     25,   8,  20,     25,      14.53,     127.58,      16.34,     127.61,           ,           , wp_1800-1900.csv
1860, 255.0 ,  7.75, 251.83, 3.1,   8,  12,     25,   8,  16,     15,      11.0 ,     129.01,      14.96,     128.32,           ,           , wp_1800-1900.csv
1870, 255.83,  7.79, 303.43, 3.2,  10,  16,     20,  10,  24,     15,      12.68,     116.54,      15.25,     114.23,           ,           , wp_1800-1900.csv
1880, 256.67,  7.83, 296.15, 3.5,   8,  12,     25,  10,  28,     20,      10.95,     126.87,      19.05,     121.46,           ,           , wp_1800-1900.csv
1900, 258.33,  7.92, 271.92, 3.1,   8,  12,     25,  10,  22,     15,      11.02,     129.14,      16.54,     122.96,           ,           , wp_1900-2000.csv
1910, 259.17,  7.96, 288.03, 3.4,   8,  12,     25,   8,  18,     15,      10.97,     127.48,      14.38,     119.46,           ,           , wp_1900-2000.csv
1920, 260.0 ,  8.0 , 296.43, 2.4,   8,  14,     25,   8,  14,     15,       9.44,     113.93,      13.49,     126.81,           ,           , wp_1900-2000.csv
1930, 260.83,  8.04, 275.71, 3.3,  10,  16,     20,  10,  22,     15,      12.69,     116.21,      17.6 ,     127.88,           ,           , wp_1900-2000.csv
1940, 261.67,  8.08, 283.6 , 3.5,  10,  16,     25,   8,  20,     20,      14.49,     125.16,      14.63,     123.93,           ,           , wp_1900-2000.csv
1950, 262.5 ,  8.12, 286.06, 3.1,   8,  14,     25,   8,  18,     20,       9.34,     109.44,      16.73,     128.52,           ,           , wp_1900-2000.csv
1960, 263.33,  8.17, 302.73, 3.1,   8,  12,     20,  10,  22,     15,       8.92,     114.73,      16.56,     122.87,           ,           , wp_1900-2000.csv
1970, 264.17,  8.21, 287.4 , 2.9,  10,  16,     20,   8,  16,     15,      12.79,     118.54,      14.02,     122.84,           ,           , wp_1900-2000.csv
1980, 265.0 ,  8.25, 266.26, 3.1,  10,  16,     25,   8,  18,     20,      14.57,     127.39,      16.73,     128.47,           ,           , wp_1900-2000.csv
1990, 265.83,  8.29, 276.7 , 2.9,  10,  16,     25,   6,  12,     20,      14.63,     128.67,      10.62,     126.5 ,           ,           , wp_1900-2000.csv
2000, 266.67,  8.33, 284.88, 3.1,   8,  12,     20,   8,  16,     15,       8.94,     114.84,      14.99,     128.07,           ,           , wp_2000-2100.csv
2010, 267.5 ,  8.38, 266.86, 3.0,  10,  16,     25,   6,  12,     20,      14.62,     128.09,      10.98,     129.21,           ,           , wp_2000-2100.csv
2020, 268.33,  8.42, 300.78, 2.8,  10,  18,     25,   8,  16,     15,      12.93,     114.16,      13.54,     120.12,           ,           , wp_2000-2100.csv
2030, 269.17,  8.46, 308.59, 3.4,  10,  16,     25,  10,  28,     20,      14.55,     125.92,      18.57,     119.01,           ,           , wp_2000-2100.csv
2040, 270.0 ,  8.5 , 310.82, 2.5,  10,  20,     25,   8,  16,     20,      10.58,     104.0 ,      15.39,     127.76,           ,           , wp_2000-2100.csv
2050, 270.83,  8.54, 286.71, 3.5,   8,  12,     25,   8,  20,     20,      11.01,     127.4 ,      14.66,     123.74,           ,           , wp_2000-2100.csv
2060, 271.67,  8.58, 297.6 , 3.6,  10,  16,     20,   8,  22,     25,      12.71,     115.23,      17.53,     129.09,           ,           , wp_2000-2100.csv
2100, 275.0 ,  8.75, 317.08, 3.6,  10,  16,     25,   8,  22,     20,      14.56,     125.19,      13.43,     113.67,           ,           , wp_2100-2200.csv
2110, 275.83,  8.79, 311.59, 3.7,   8,  12,     25,   8,  18,     15,      11.0 ,     126.64,      15.7 ,     125.82,           ,           , wp_2100-2200.csv
2120, 276.67,  8.83, 295.88, 2.9,  10,  18,     25,   6,  12,     20,      12.96,     113.84,      10.65,     126.34,           ,           , wp_2100-2200.csv
2130, 277.5 ,  8.88, 320.0 , 3.7,  10,  16,     25,   8,  22,     20,      14.56,     124.84,      13.81,     115.65,           ,           , wp_2100-2200.csv
2140, 278.33,  8.92, 294.19, 3.3,   8,  12,     20,  10,  22,     15,       8.95,     114.16,      17.67,     127.56,           ,           , wp_2100-2200.csv
2150, 279.17,  8.96, 278.73, 3.1,  10,  16,     25,   8,  18,     20,      14.66,     127.9 ,      16.79,     128.26,           ,           , wp_2100-2200.csv
2160, 280.0 ,  9.0 , 311.41, 3.8,  10,  16,     25,  10,  30,     20,      14.56,     124.51,      19.08,     118.61,           ,           , wp_2100-2200.csv
2170, 280.83,  9.04, 310.89, 3.6,  10,  16,     20,   8,  20,     20,      12.76,     115.52,      15.11,     125.82,           ,           , wp_2100-2200.csv
2180, 281.67,  9.08, 314.18, 3.0,  10,  18,     20,   8,  16,     15,      11.33,     104.43,      14.55,     125.22,           ,           , wp_2100-2200.csv
2200, 283.33,  9.17, 304.92, 3.3,  10,  16,     25,  10,  24,     15,      14.65,     126.93,      15.82,     116.05,           ,           , wp_2200-2300.csv
2210, 284.17,  9.21, 292.73, 3.8,   8,  12,     25,  10,  28,     20,      11.02,     126.49,      20.79,     127.5 ,           ,           , wp_2200-2300.csv
2220, 285.0 ,  9.25, 294.24, 3.0,  10,  16,     20,   8,  16,     15,      12.87,     118.62,      14.56,     125.18,           ,           , wp_2200-2300.csv
2230, 285.83,  9.29, 305.19, 3.4,   8,  12,     25,  10,  24,     15,      11.09,     128.43,      16.3 ,     118.22,           ,           , wp_2200-2300.csv
2240, 286.67,  9.33, 308.35, 2.6,  10,  16,     20,   6,  10,     15,      12.98,     121.37,       9.44,     128.1 ,           ,           , wp_2200-2300.csv
2250, 287.5 ,  9.38, 328.36, 2.9,  10,  20,     25,  10,  24,     20,      10.6 ,     102.14,      19.25,     126.7 ,           ,           , wp_2200-2300.csv
2260, 288.33,  9.42, 319.76, 2.8,  10,  18,     25,   6,  12,     20,      13.04,     114.81,      10.31,     123.48,           ,           , wp_2200-2300.csv
2270, 289.17,  9.46, 432.62, 3.1,   8,  16,     20,   8,  18,     15,       6.57,      84.47,      13.19,     112.21,           ,           , wp_2200-2300.csv
2280, 290.0 ,  9.5 , 321.0 , 3.3,  10,  16,     20,   8,  18,     15,      12.84,     117.16,      14.04,     116.7 ,           ,           , wp_2200-2300.csv
2290, 290.83,  9.54, 316.91, 3.4,  10,  16,     25,   6,  14,     20,      14.67,     126.67,      10.53,     117.64,           ,           , wp_2200-2300.csv
2300, 291.67,  9.58, 307.08, 3.1,   8,  12,     20,   8,  16,     15,       9.02,     115.62,      15.07,     127.71,           ,           , wp_2300-2400.csv
2310, 292.5 ,  9.62, 304.77, 3.4,   8,  12,     25,  10,  26,     20,      11.12,     128.65,      20.45,     128.4 ,           ,           , wp_2300-2400.csv
2320, 293.33,  9.67, 337.66, 3.6,   8,  12,     20,   8,  18,     15,       8.97,     113.23,      15.33,     123.31,           ,           , wp_2300-2400.csv
2330, 294.17,  9.71, 336.47, 3.0,  10,  20,     25,  10,  22,     15,      10.62,     101.82,      16.15,     120.03,           ,           , wp_2300-2400.csv
2340, 295.0 ,  9.75, 325.14, 3.9,  10,  16,     25,  10,  24,     15,      14.63,     124.62,      18.71,     128.94,           ,           , wp_2300-2400.csv
2350, 295.83,  9.79, 306.99, 3.3,  10,  16,     25,  10,  26,     20,      14.72,     127.35,      19.87,     125.99,           ,           , wp_2300-2400.csv
2360, 296.67,  9.83, 334.46, 3.1,   8,  14,     25,   6,  14,     25,       9.47,     110.49,      12.3 ,     127.06,           ,           , wp_2300-2400.csv
2370, 297.5 ,  9.88, 312.07, 3.6,  10,  16,     25,  10,  28,     20,      14.68,     125.94,      19.78,     123.03,           ,           , wp_2300-2400.csv
